Max # Rules: ,31, Avg # Producing Rules: ,6.470588, Avg # Drawing Rules: ,1.176471, Avg # Terminal Rules: ,1.176471
P2G Rule Ratio:,0.8461539
Avg # G2P Transitions:,2.4,Min # G2P Transitions:,0,Max # G2P Transitions:,24
Avg # P2G Transitions:,2.361538,Min # P2G Transitions:,0,Max # P2G Transitions:, 24
Avg # Repeated:,0.3384615,Min # G2P Transitions:,0,Max # G2P Transitions:,15

Length,# Overall, # Producing, # Graphical
00029:,True,False,False,16,13,4,9,0,0.3076923,1G 1S SB 1G 1S EB SB 1G 1S EB 1G 1G 1S 
00030:,True,False,False,2,2,1,1,0,0.5,1G 1S 
00031:,True,False,False,4,4,2,2,0,0.5,2S 2G 
00032:,False,True,False,2,2,0,2,0,0,2G 
00033:,True,False,False,13,10,3,7,0,0.3,1G 1S SB 1G 1G 1S EB 1G 1G 1S 
00034:,True,False,False,9,8,2,6,0,0.25,2G SB 1G 1S EB 1G 1S 
00035:,True,False,False,3,3,2,1,0,0.6666667,2S 1G 
00036:,True,False,False,3,3,1,2,0,0.3333333,2G 1S 
00037:,True,False,False,8,7,1,6,0,0.1428571,2G SB 1G 1S EB 1G 
00038:,True,False,False,17,17,9,8,0,0.5294118,1G 4S SB 1G 1S EB SB 1G 1S EB 2S 1G 1S 
00039:,False,True,False,3,2,0,2,0,0,2G 
00040:,True,False,False,12,12,2,9,1,0.1666667,2G SB 1G 1S EB SB 1G 1S EB 1G 1G 
00041:,False,True,False,2,1,0,1,0,0,1G 
00042:,True,False,False,2,2,1,1,0,0.5,1S 1G 
00043:,True,False,False,4,4,1,3,0,0.25,3G 1S 
00044:,True,False,False,12,12,3,9,0,0.25,2G SB 1G 1S EB SB 1G 1S EB 1G 1S 
00045:,True,False,False,11,11,2,9,0,0.1818182,2G SB 1G 1S EB SB 1G 1S EB 1G 
00046:,False,True,False,3,3,0,3,0,0,3G 
00047:,False,True,False,4,3,0,3,0,0,3G 
00048:,True,False,False,6,4,2,2,0,0.5,2S 2G 
00049:,True,False,False,17,14,4,10,0,0.2857143,2G 1S SB 1G 1S EB SB 1G 1S EB 1G 1G 1S 
00050:,True,False,False,5,3,1,2,0,0.3333333,2G 1S 
00051:,False,True,False,4,4,0,4,0,0,4G 
00052:,True,False,False,82,54,17,37,0,0.3148148,SB 1G 1S EB SB 1G 1S SB 1G 1S EB 1G 1S SB 1G 1S EB 1G 1S SB 1G 1S EB 1G 1S SB 1G 1S EB SB 1G 1S SB 1G 1S EB 1G 1S SB 1G 1S EB 1G 1S SB 1G 1S EB 1G 1S SB 1G 1S EB 
00053:,True,False,False,21,17,5,8,4,0.2941177,SB 1G 1G 1G EB 1G 2S SB 1G 1G 1G EB 1G 3S 
00054:,True,False,False,22,18,5,9,4,0.2777778,SB 1G 1G 1G EB 1G 2S SB 1G 1G 1G EB 2S 1G 1G 1S 
00055:,True,False,False,53,35,9,18,8,0.2571429,2G SB 1G 1S EB 1G SB 1G 1S EB 1S 1G 1G SB 1G 1S EB 1G 1G 1G SB 1G 1S EB 1S 1G 1G 1G SB 1G 1S EB 1G SB 1G 1S EB 1G 1S 1G 
00056:,True,False,False,24,24,6,15,3,0.25,SB 1G 1G 1G 1S 1G 1G 1S 1G 1G 1S 1G 1G 1G 1G 1S 1G 1G 1S 1G 1G 1S 1G EB 
00057:,True,False,False,22,22,6,13,3,0.2727273,SB 1G 1G 1G 1S 1G 1S 1G 1G 1S 1G 1G 1G 1G 1S 1G 1S 1G 1G 1S 1G EB 
00058:,False,True,False,3,1,0,0,1,0,3G 
Compressed Patterns
ID,Is Producer?,Is Graphical?, Is Terminal?, Length, Length Compressed, # Producing Symbols, # Graphical Symbols, # Terminal Symbols, Ratio P2G,Pattern
00001:,True,False,False,2,2,2,0,0,1,S
00002:,True,False,False,1,1,1,0,0,1,S
00003:,True,False,False,3,3,3,0,0,1,S
00004:,True,False,False,9,9,5,4,0,0.5555556,SGSGSGSGS
00005:,True,False,False,5,5,2,3,0,0.4,SGSG
00006:,True,False,False,5,5,2,3,0,0.4,GSGS
00007:,True,False,False,18,17,7,10,0,0.4117647,SGBSEGSEGSBGSEGS
00008:,True,False,False,5,5,3,2,0,0.6,SBE
00009:,True,False,False,7,7,3,4,0,0.4285714,GSGSGSG
00010:,True,False,False,15,13,7,6,0,0.5384616,SGSGSGSGSGSG
00011:,True,False,False,15,13,7,6,0,0.5384616,GSGSGSGSGSGS
00012:,True,False,False,43,43,25,18,0,0.5813953,SGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSG
00013:,True,False,False,43,43,25,18,0,0.5813953,GSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS
00014:,True,False,False,97,97,25,72,0,0.2577319,SGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGSGS
00015:,True,False,False,75,41,24,13,4,0.5853658,GSBGSGSGBSEEGSGSGBSE
00016:,True,False,False,44,17,5,8,4,0.2941177,GSGBBSEEG
00017:,False,True,False,6,1,0,1,0,0,G
00018:,True,False,False,96,48,15,26,7,0.3125,GBSGSEGBSGSEGBSGSEGBSGSEGBSGSEGBSGSE
00019:,True,False,False,42,25,6,19,0,0.24,SBGSEGBSEGBSEGBSEGBSE
